,productId,category,productName,price
222,VIFA66GYC4CAR4OI2H6S6POJ,Cheesecake Factory,Red Velvet Cake Cheesecake,749
223,KS6AT7LOWJEWRK7RYTGBWTQR,Cheesecake Factory,OREO® Cookies & Cream Cheesecake,749
224,NXIY2ZEAXD6RE6PQURABQQGN,Cheesecake Factory,Classic Cheesecake,749
225,VNPAZAVKB7STLCNB7Y2BYLOK,Cheesecake Factory,Fudge Cake,749
226,BUE25HENM6O5T6XCKORMOJXA,Cheesecake Factory,Godiva® Double Chocolate Cheesecake,749
227,2HOI73S3BMTCN44OQGCJZDYM,Cheesecake Factory,Mango Key Lime Cheesecake,749
228,MOLYKXB74ERT47PMOFNUUN5O,Cheesecake Factory,Cinnabon® Layer Cheesecake,749
229,PAOGOKEX5GW3FPZ5DNGLS4UM,Cheesecake Factory,White Chocolate Raspberry Cheesecake,749
230,CEAO5EGSR5HEP26EW6TON67M,Cheesecake Factory,Wild Strawberries & Cream Cheesecake,749
231,CNL5RYGABTYP6IG74MUY3EAI,Cheesecake Factory,Reese’s® Peanut Butter Cheesecake,749
232,HD6EOHJO6HX6CUGCBFSK42SR,Wrap,Santa Fe Salad - Wrap,1299
233,HYNJPBMVVKCONPPLKNN53VQD,Wrap,Rad Chicken Caesar Wrap,1399
234,O5LRPK6JTKCRAK7FLHOX4JOA,Wrap,Green Goddess Kale Wrap,1299
235,OKEA5GLFK6FVAJYC6ARMJR6L,Wrap,Rad Cobb Wrap,1499
236,YN4BF7TBBBGFTANXIDWUVODL,Wrap,Zesty Greek Wrap,1199
